"id","location","number","id_city"
184,ALGUMA RUA,"781",5324
186,ALGUMA RUA,"175",3448
3754,ALGUMA RUA,"320",3032
3783,ALGUMA RUA,s/n,3237
195,ALGUMA RUA,"144",3010
3792,ALGUMA RUA,,3400
249,ALGUMA RUA,"567",377
210,ALGUMA RUA,"616",5265
351,ALGUMA RUA,"780",502
219,ALGUMA RUA,S/N,268
218,ALGUMA RUA,"15",508
222,ALGUMA RUA,"405",5163
227,ALGUMA RUA,"365",4131
233,ALGUMA RUA,"720",913
245,ALGUMA RUA,"2940",3211
257,ALGUMA RUA,S/N,443
243,ALGUMA RUA,"1050",2477
238,ALGUMA RUA,SN,3342
221,ALGUMA RUA,"51",502
190,ALGUMA RUA,SN,4139
193,ALGUMA RUA,"31",3508
194,ALGUMA RUA,"352",2477
248,ALGUMA RUA,"249",913
250,ALGUMA RUA,S/N,5245
206,ALGUMA RUA,"568",3858
215,ALGUMA RUA,"901",4782
231,ALGUMA RUA,"100",4423
235,ALGUMA RUA,"22875",3095
239,ALGUMA RUA,SN,4272
240,ALGUMA RUA,"930",3992
256,ALGUMA RUA,"649",2722
260,ALGUMA RUA,"75",2477
192,ALGUMA RUA,S/N,3171
267,ALGUMA RUA,"2975",4475
272,ALGUMA RUA,"56",4453
211,ALGUMA RUA,s/n,3096
217,ALGUMA RUA,"4",913
21,ALGUMA RUA,"790",3531
246,ALGUMA RUA,"7044",5151
187,ALGUMA RUA,"183",3853
188,ALGUMA RUA,"535",3602
189,ALGUMA RUA,"215",664
197,ALGUMA RUA,"803",3750
198,ALGUMA RUA,"503",3818
199,ALGUMA RUA,"2075",3640
200,ALGUMA RUA,S/N,3729
201,ALGUMA RUA,SN,4193
202,ALGUMA RUA,"100",3760
203,ALGUMA RUA,"1325",5324
204,ALGUMA RUA,"2357",3508
205,ALGUMA RUA,"53",502
207,ALGUMA RUA,"1023",3096
208,ALGUMA RUA,"1020",4358
209,ALGUMA RUA,"291",3826
212,ALGUMA RUA,"147",3683
213,ALGUMA RUA,"1312",4401
