"id","id_offer","id_address_from","id_address_to","amount","budgeted_value"
46219,35602,155643,155644,795.0000,0.01
46220,35602,155645,155646,792.0000,0.01
46221,35602,155647,155648,475.0000,0.01
46222,35602,155649,155650,475.0000,0.01
46223,35602,155651,155652,475.0000,0.01
46224,35602,155653,155654,346.0000,0.01
46225,35602,155655,155656,346.0000,0.01
46226,35602,155657,155658,346.0000,0.01
46117,35569,155281,155282,115.3100,90.00
46379,35714,157110,157111,600.0000,65.00
46049,35512,154630,154631,200.0000,104.00
46090,35547,155077,155078,2500.0000,215.00
46122,35574,155331,155332,1680.0000,264.00
46026,35497,154502,154503,2.4200,126.64
46027,35497,154504,154505,0.9000,126.64
46028,35497,154506,154507,0.0600,126.64
46029,35497,154508,154509,1.2000,126.64
46030,35497,154510,154511,0.3000,126.64
46031,35497,154512,154513,0.0500,175.63
46032,35497,154514,154515,0.5100,126.64
46033,35497,154516,154517,0.6800,175.63
46034,35497,154518,154519,6.9000,145.28
46298,35655,156522,156523,2100.0000,65.00
46081,35544,155025,155026,100.0000,310.00
46061,35524,154738,154739,600.0000,340.00
46273,35631,156343,156344,2000.0000,200.00
46254,35612,156171,156172,810.0000,150.00
46066,35529,154918,154919,250.0000,144.00
46115,35567,155257,155258,600.0000,100.00
46143,35595,155463,155464,29.0400,153.03
46118,35570,155293,155294,47.9400,106.00
46105,35558,155175,155176,28.8000,153.03
46205,35600,155587,155588,0.0100,153.03
46204,35600,155585,155586,0.0100,518.57
46206,35600,155589,155590,2.4200,153.03
46207,35600,155591,155592,1.2100,153.03
46208,35600,155593,155594,0.1000,153.03
46209,35600,155595,155596,1.2100,153.03
46193,35600,155563,155564,0.0500,153.03
46194,35600,155565,155566,1.2100,153.03
46195,35600,155567,155568,0.0200,153.03
46196,35600,155569,155570,0.1500,153.03
46197,35600,155571,155572,0.0500,153.03
46198,35600,155573,155574,0.0500,153.03
46199,35600,155575,155576,1.2100,153.03
46200,35600,155577,155578,0.0200,153.03
46201,35600,155579,155580,0.1500,153.03
46202,35600,155581,155582,0.0500,153.03
46203,35600,155583,155584,2.4200,153.03
46210,35600,155597,155598,0.0500,153.03
46211,35600,155599,155600,0.1000,153.03
46212,35600,155601,155602,2.4200,153.03
46213,35600,155603,155604,0.1000,153.03
46214,35600,155605,155606,0.0500,153.03
46215,35600,155607,155608,0.1500,153.03
46316,35673,156657,156658,36.0000,223.49
46326,35683,156677,156678,28.8000,223.49
46301,35658,156546,156547,800.0000,100.00
46364,35701,156804,156805,44.4200,95.00
46381,35716,157124,157125,351.1500,260.00
46314,35671,156653,156654,13.7500,138.88
46247,35605,155711,155712,180.0000,135.00
46291,35648,156488,156489,31.2000,181.12
46264,35622,156257,156258,1800.0000,200.00
46267,35625,156277,156278,1560.0000,110.00
46038,35501,154558,154559,2500.0000,130.00
46131,35583,155379,155380,31.2000,181.12
46263,35621,156231,156232,1000.0000,295.00
46037,35500,154556,154557,2500.0000,130.00
46272,35630,156331,156332,300.0000,117.00
46332,35689,156689,156690,12.1000,101.70
46333,35689,156691,156692,0.3000,416.46
46036,35499,154554,154555,2.0000,150.00
46259,35617,156201,156202,2091.0000,62.50
46366,35703,156812,156813,467.7400,91.00
46271,35629,156307,156308,300.0000,117.00
46368,35705,156820,156821,109.9200,91.00
46355,35696,156735,156736,3.6000,126.64
46356,35696,156737,156738,1.2100,126.64
46357,35696,156739,156740,6.9000,145.28
46358,35696,156741,156742,1.2100,116.03
46359,35696,156743,156744,0.0200,116.03
46114,35566,155243,155244,400.1300,100.00
46304,35661,156587,156588,600.0000,120.00
46252,35610,156147,156148,422.0000,235.00
46260,35618,156211,156212,138.0000,62.50
46345,35694,156715,156716,26.6200,239.72
46216,35601,155611,155612,1243.0000,60.00
46250,35608,155731,155732,487.0000,260.00
46074,35537,154981,154982,432.0000,135.00
46062,35525,154740,154741,3000.0000,290.00
46123,35575,155341,155342,440.3400,100.00
46138,35590,155435,155436,360.0000,140.00
46320,35677,156665,156666,31.2000,181.12
46078,35541,155005,155006,90.0000,100.00
46113,35565,155237,155238,180.0000,100.00
46292,35649,156492,156493,31.2000,181.12
46317,35674,156659,156660,31.2000,181.12
46315,35672,156655,156656,28.8000,223.49
46246,35604,155709,155710,300.0000,140.00
46344,35693,156713,156714,0.1100,239.72
46343,35693,156711,156712,0.2200,239.72
46342,35693,156709,156710,28.8000,239.72
46106,35559,155181,155182,1600.0000,32.17
46327,35684,156679,156680,28.8000,134.10
46302,35659,156548,156549,1020.0000,190.00
46319,35676,156663,156664,31.2000,181.12
46064,35527,154804,154805,840.0000,130.00
46095,35552,155099,155100,4.9200,80.00
46142,35594,155461,155462,28.8000,153.03
46127,35579,155369,155370,253.5000,250.00
46128,35580,155373,155374,28.8000,137.70
46278,35636,156406,156407,15000.0000,48.00
